Concepto,Grupo,2004-03-01,2004-06-01,2004-09-01,2004-12-01,2005-03-01,2005-06-01,2005-09-01,2005-12-01,2006-03-01,2006-06-01,2006-09-01,2006-12-01,2007-03-01,2007-06-01,2007-09-01,2007-12-01,2008-03-01,2008-06-01,2008-09-01,2008-12-01,2009-03-01,2009-06-01,2009-09-01,2009-12-01,2010-03-01,2010-06-01,2010-09-01,2010-12-01,2011-03-01,2011-06-01,2011-09-01,2011-12-01,2012-03-01,2012-06-01,2012-09-01,2012-12-01,2013-03-01,2013-06-01,2013-09-01,2013-12-01,2014-03-01,2014-06-01,2014-09-01,2014-12-01,2015-03-01,2015-06-01,2015-09-01,2015-12-01,2016-03-01,2016-06-01,2016-09-01,2016-12-01,2017-03-01,2017-06-01,2017-09-01,2017-12-01,2018-03-01,2018-06-01,2018-09-01,2018-12-01,2019-03-01,2019-06-01,2019-09-01,2019-12-01,2020-03-01,2020-06-01,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01,2023-12-01,2024-03-01,2024-06-01,2024-09-01,2024-12-01,2025-03-01,2025-06-01,2025-09-01,2025-12-01,2026-01-01,2026-02-01
Intereses deuda interna,GASTOS TOTALES > Intereses,1720.1648813425,2155.0573282373803,1513.5586628372398,555.1991326403602,1659.2893379770903,1426.1100460350906,2465.6391919065,62.11572771829029,2202.1809793941384,2015.5250146810736,4049.6371722138647,1184.6356067892518,2700.439066851968,2605.1537348424285,4119.593006804353,1732.680162971492,1647.8729039188054,2535.9171878511615,3792.892468861416,2284.47939898764,1666.6518657348963,2516.7487236883767,4066.897694219534,2486.414712919911,1442.7775416395496,3295.4972425874257,3861.7874830656174,1961.0858870222648,1340.0833052426283,3933.330181947222,4033.8850712925387,2761.786524098044,1682.3761160005874,3261.609647180472,4386.122052400121,3208.1977960252702,1577.8869066065695,3592.388432000484,3816.6114023494265,3278.253426110295,1171.0062336100793,3302.29155158869,4692.30099591876,2682.65471556564,828.6521371563199,2901.28272601117,6036.0201700136495,2478.4426726133197,1211.717563173386,3616.4725270406548,8263.023313655922,2475.0309875609432,1356.0423169375435,5407.772276726726,9236.367748668405,1350.6125158332889,1742.948914979192,4378.149824292203,10267.959431079571,1726.7123835607267,2462.7290843951696,5096.457191228202,9393.44610069762,2335.44379728262,2548.9402924341202,6772.41731401845,5636.13534956782,3264.53337187457,2668.064105001,7779.73239123353,7814.67588168967,6393.09329575645,4944.045056003171,10868.50391731009,12327.644295004011,7236.8538454852705,6953.17528054592,11184.44111865891,7119.965913419661,6883.7979161473995,8420.741782687848,17203.31701263208,9984.35104587904,14310.04460905772,13723.665254792779,12771.282393249528,-1449.5459081273111,2119.9203506299073,19291.40735513755,11915.177147454942
Indexación TES B denominados en UVR,GASTOS TOTALES > Intereses,239.99351861459922,239.54147107110174,85.37333441449888,50.314372677099485,217.6774560628004,242.99373514060116,81.36879748390005,93.59063060470035,141.89310477169712,242.98028559740368,172.34448511889804,79.92223892129851,285.5220094110475,494.6067643127548,65.84326356819845,45.885751610610335,448.33468826635146,515.3539326077124,390.6458410281645,88.07864101114095,363.3851321932475,287.2866431874963,-18.638843671517037,-65.50609776286035,288.1488357920413,316.38476995083585,50.79205892971705,-20.989164964608676,545.6125722972288,244.97422502168664,187.59158313107116,183.14308058659606,512.113254277092,241.0882252301377,79.27465317068138,143.64794102504544,156.70839613583195,265.3726024556549,154.4509376552253,-17.272264874332322,934.8629844156794,-259.9074027475988,1352.306214904534,-641.592464856231,737.7070126252045,861.2307278318327,343.13279663257765,1082.5716890054744,1757.107532730124,1510.7100016245022,735.5549592045503,-149.41122520312874,1477.9727132287505,1135.2715276338797,176.48774238897096,167.19164157043636,1157.318396243441,988.2462252072853,181.9264457791898,398.99321365586485,1288.1781191495627,1387.0212751432791,717.2106632730979,513.0988750434133,1158.7454149936798,982.2599682200383,-596.8279301115812,194.41840737904582,1170.2873734786617,2169.02963962983,1196.872539835898,1117.2553241052237,4682.673080569453,4834.391338712511,3307.0858988453656,3921.649715064375,6557.805180161909,4435.898175169691,2242.385002777515,2329.6411213952765,3773.8891131472137,3711.6233182433825,1397.3323555498946,475.0102852810719,4145.205823401622,3790.3150083931137,1312.718687147451,1335.0373073598362,4436.386731468279,5272.8984209309765
Funcionamiento*,GASTOS TOTALES,8825.690970577498,8755.970706266464,8317.16729241775,12650.221609286325,11983.334068685032,9292.341329546263,9328.028716337514,13911.177212940316,11499.316330136728,12043.940127112994,10564.420734202042,14912.913195644342,12463.344087021509,12456.496669957109,12202.465753955472,15144.325168144318,15831.597862872524,12998.432294782473,13722.796173878598,17308.143253216087,15329.441629102723,17403.60664208439,16741.81014083703,21534.829148257966,14421.55029541196,17793.068544531576,14707.34197292303,23519.934703437706,13305.203776829207,17990.608002779678,17436.738097003683,28372.704539891165,14588.586265879208,20924.04145256231,19622.395980028756,30426.712597234466,16105.2887552527,23215.31380535729,23088.72233067454,34193.858873793695,21409.846039111406,26079.535187539237,24976.717084734384,32502.801396469025,22025.511765454852,27920.718952099836,26556.954988522753,31948.203267635316,27562.064659432363,31649.850338241038,28054.07728550434,33098.309468521045,31318.629107461886,32957.24777355315,31941.74216338517,36989.48854885078,31551.214446179547,37622.43299646981,33114.98281662075,36071.73594341003,34948.22853413351,37081.24282519799,34773.524472171615,41969.08439000053,38794.45653014983,49684.45115014781,51194.23595531839,42022.63191168322,50762.21682147078,46965.30984514828,44246.75967057702,67841.06065621089,46771.128423905364,57985.865294984214,51919.87827550593,56496.69107602159,54182.535221923885,65738.47657482061,67864.59253683574,72875.26453213391,68952.43254625061,80770.23479215015,63300.29728091673,75341.58915731698,73448.99835809246,82360.41080986966,75383.68778479927,88131.6716908181,79949.28746664895,90932.26988929408
Servicios personales,GASTOS TOTALES > Funcionamiento*,1279.8816611923298,1440.3127069805896,1444.22244342632,2540.0640099814646,1560.57907311489,1744.1987577188697,1626.7910502486018,2322.1786717972577,1724.27572033578,1930.9208227185327,1781.6855473609046,2608.9839597493433,1788.0413349569706,1963.3782352723301,2130.7076578303117,2768.1917062493703,1968.6914740346317,2298.14884300938,2309.90023324714,3110.2305718766597,2113.6416067438017,2596.5565779342805,2625.0200591683624,3526.8788162132487,2364.7566802604774,2851.6390794339354,2806.701991644358,3626.3905075763805,2429.0264096224655,2992.881204111879,3023.1461040215218,3967.4813181416753,2737.980553314009,3406.5082958679873,3367.6247597572574,4476.1927756475125,3018.408980279539,3534.4204230471387,3745.568701452385,4925.072246269936,3593.252789246317,4117.205874575566,4098.277331286056,5236.643588691368,3623.5207445906126,4301.3599984002285,4445.7167661493995,5821.433024430127,4072.2527161165717,4750.343036868902,4752.964722804172,6167.764873159338,4053.8749915822773,5011.687735072481,5184.189538309609,6846.057345733798,4775.003033173138,5694.637777455771,5536.103457393256,6940.119445876863,4843.085185451344,5631.483608736614,5623.729016979044,7156.196458926727,5204.375267044351,5691.496667129531,5723.948763211638,7615.203477101168,5216.335620132301,5907.774915443522,6327.255253139299,8233.139712739916,5584.4521733715355,7107.703883476344,6904.064741310497,8767.817532824469,6123.548570820815,8029.03671561913,8762.908354339965,9870.324976817556,7328.768070105529,9439.184303247614,9134.972073331826,11563.75129296516,8359.150115206383,10036.851002592346,10535.887479324923,13264.172098543137,9905.370515628896,12124.439349540102
Transferencias,GASTOS TOTALES > Funcionamiento*,7194.1018762678295,6750.590643536577,6227.78914951569,9087.925882534542,9735.8357601262,7002.762832780242,7022.630195938042,10457.665093245738,8791.875620677647,9298.41264460162,8083.523670555759,11356.263410211546,9833.514314448057,9591.95273460155,9252.577114630789,11352.426699559328,12398.501256511625,10873.367721680861,10560.522244079588,12621.253619591746,12686.752381059916,13807.45363699557,13280.358700217053,16487.94521051931,11300.634168908819,13936.041496725902,10922.002438209667,18302.34962559001,10303.230985628703,14076.077798742092,13384.203376023685,22300.69214586296,10964.394274291404,16439.43731291013,15107.468434573835,23620.75926787233,12249.192710823612,18513.84513483085,17942.521342674703,26656.58030214819,16741.376443663845,20483.083222185367,19482.817360427063,24800.31459233348,17560.011388320694,22460.32991771675,20546.83876362909,23420.148785444475,22631.26364598071,25562.927576169455,21894.663413881422,24355.806125866864,26332.751434629536,26755.34590159885,25396.948283926882,27677.01443364661,25854.44920228531,30554.51056648823,26034.524028357733,27371.885347236723,28360.152026690324,29980.886479878296,27444.64271981731,32227.186392915646,32002.92536308222,42671.632701641785,43992.14467777607,31671.861352650434,43977.34645148626,39402.05751666389,36249.18349683682,56063.658874148576,39243.462888047834,48278.853031108316,42425.15834822325,44770.78741543696,45867.93627269266,55266.92148474096,56654.416225375215,59314.685770077034,58081.16748357442,68739.63080575096,51587.95888852484,60920.31257425031,60550.633357168976,69359.84478736586,61146.07049269165,70897.32942962824,64923.89928488103,74388.84311359547
Gastos Generales,GASTOS TOTALES > Funcionamiento*,351.70743311733804,565.067355749298,645.1556994757383,1022.2317167703181,686.9192354439401,545.3797390471502,678.6074701508699,1131.3334478973206,983.1649891232998,814.60665979284,699.211516285378,947.6658256834518,841.78843761648,901.1657000832301,819.18098149437,1023.7067623356188,1464.4051323262697,-173.08426990777014,852.3736965518692,1576.6590617476804,529.0476412990043,999.5964271545402,836.4313814516172,1520.005121525407,756.1594462426647,1005.387968371736,978.6375430690034,1591.1945702713144,572.9463815780366,921.6489999257063,1029.3886169584794,2104.5310758865344,886.2114382737968,1078.0958437841923,1147.302785697665,2329.7605537146205,837.6870641495495,1167.0482474792998,1400.632286547451,2612.2063253755664,1075.2168062012452,1479.2460907783018,1395.6223930212614,2465.8432154441775,841.9796325435448,1159.0290359828566,1564.3994587442635,2706.6214577607134,858.5482973350761,1336.5797252026816,1406.4491488187496,2574.7384694948414,932.0026812500672,1190.214136881821,1360.604341148674,2466.4167694703665,921.7622107210998,1373.2846525258055,1544.3553308697628,1759.731150296444,1744.9913219918403,1468.872736583079,1705.1527353752585,2585.7015381581605,1587.15590002326,1321.3217813764993,1478.1425143306788,2735.567081931619,1568.53474985223,1655.4774130408703,1670.3209206008983,3544.2620693223935,1943.2133624859898,2599.308380399559,2590.6551859721685,2958.086127760168,2191.0503784104094,2442.5183744605292,2447.2679571205617,3690.253785239317,3542.496992570649,2591.4196831515624,2577.3663190600682,2857.5252901014983,4539.214885717101,2963.71501991145,3701.729812782711,3970.170162646711,5120.0176661390215,4418.987426158518
Inversión*,GASTOS TOTALES,741.2305258933698,1165.3624417860706,315.3647110565381,1716.6269153471808,898.6138085380109,1205.9033452425597,383.98172548861885,1542.001084036029,3453.1614743092914,1311.3752629941105,850.4600525748717,406.47499040810783,3712.02683243799,2014.006349526119,1056.7175585418336,1104.6506864571506,6282.465609937871,-2252.250476364263,2141.2646254601887,4562.2103092554435,2073.181800959572,2754.84439951049,2162.3257876584544,4545.399949368621,1534.6578654646296,2425.5809280753383,1677.3688198844031,4835.5685582862125,665.7481459552498,2602.885392215734,3672.4363233122053,10726.466705035235,1307.8830617725794,2700.5706466843603,4096.530253982522,11725.759795061338,6252.346759175891,3672.7314323954015,3748.0614500757974,9752.080705098837,5010.853041869195,4979.9533933946395,4532.584294877604,7799.519383566636,475.3717895632551,640.1446938594754,-698.7839379967977,36.13335605922106,5111.054994143647,4021.89347243636,3506.1001813719786,5002.222929313435,5048.0613587172775,3482.2436625519413,4073.61463401249,5362.118023262676,3389.4450988130634,2631.203718128333,4091.277401163192,3928.487462192804,6370.4585222108735,2718.8032070016725,3781.8283587281862,5640.374780904805,6310.057347387716,3153.261449062226,3558.739450882624,7371.264313203359,5168.485931742495,5477.461001120138,5762.151423171771,9325.412826214524,10505.407303835555,9031.994416453275,9205.910862110199,10766.355508937228,6384.35829333977,7795.131164948161,12464.135308465087,14574.293527021513,9419.286222260722,7181.290536597712,9033.063425010545,7909.249176907433,19980.155613676638,8702.109314766214,10120.61663074401,10464.485970483523,17771.660897254766,9855.073095364027
PRÉSTAMO NETO,,101.64648228930409,138.4996901529982,48.80690026550962,9.269592454532756,20.876337038086007,98.13565914467921,79.84837637708912,124.92565137243088,91.693658161073,143.4815357822765,106.0147821015075,71.05631216577052,82.78687638637578,69.10883809548741,57.1048624255772,47.56146024363599,47.22053845922301,47.47793276036189,32.8429349517993,38.62730888306889,29.480012316430496,71.28005740531,24.24054337137884,50.96004004198879,37.351062023199695,47.80413105706938,37.93108807025938,90.8698797728,48.4774723231018,43.68184811188,74.57917734097715,16.12061539223,17.4688238695,-8.955022450969999,90.90492956738998,-38.5648430201922,-3.5413349443100017,3.9609930509,-0.5559150546500042,-1.9754083375199976,-7.52460700698,5.11936064488,-1.913857243049998,-6.910949054290001,6.230836965202661,-14.528978429519999,12.658974524880001,-22.39322916994675,-33.304475611440004,-42.27601972342,0.24685157189999996,-19.537552368404853,-13.78697566616,-35.51043037108,-8.91872487082,-33.64583978878,-14.53282063704,-35.27249151758001,-12.36303886245,-204.54940332319,-133.02530620196998,-15.397146436020002,-14.20974170693,-11.518903747259998,-17.60809291576,-13.79792659525,-16.3624482394,-46.24877019794,5.170777006379998,-18.56311081244,-13.05986745922,7.414551294739997,-14.05215740642,7.508730091930003,-11.717788876820002,12.648984543480001,-15.14242918437,-11.029605587289998,-12.51517906666,-26.236404222029996,-85.02227809517,-13.557885116940001,-14.046223564139998,-34.34559516412,-17.085865000280002,-47.20718363958,-17.08586500041,-23.089278443879998,-36.793198953358235,-17.64722598785
DÉFICIT TOTAL,,-4274.73053215122,-1986.5310003087855,-858.1147971019875,-6593.849187945145,-6162.206471676938,-82.32481279671529,-1406.8949367280961,-5858.099204227803,-6495.909550506277,-1505.2534061688461,-85.25127618011216,-4985.53043435594,-5808.115132205162,1063.096158863274,-1602.787084659584,-5265.821158483365,-5516.065918728643,5198.475521191317,-2818.9305486526528,-7931.245315031212,-3251.0479071935383,-971.787445023575,-3288.716296202281,-13203.472008430777,727.4727539080745,-5078.91554913787,-1591.0400768609122,-15076.5468764417,3753.9602941294092,4241.713373182454,-2145.414851847761,-23356.97375240983,3006.5155134530087,13111.142016378839,-3544.747761997915,-28012.56098830991,3132.008436920231,6541.728694157634,-4580.965633769512,-21738.190728009773,525.9974451148946,576.0590483822123,-5076.288426789204,-14382.224282295121,2579.0217389941186,5395.294686592503,-4199.093574917889,-8634.705337028976,-7011.69500627579,-1710.788592681147,-12979.368624441575,-13223.475562537205,-10726.61462012866,-1867.827376755407,-5639.275074928126,-15402.06718847277,-5184.208899999669,-5891.926104113385,-12818.843490776972,-6420.860652531538,-6291.9179111853,1318.5378734465628,-7292.138392175393,-13783.019859059226,-2468.1337041726997,-28138.53871203834,-29136.80996536091,-18019.94161656947,-14867.855095652785,-20291.05777637238,-4555.9000918511665,-43434.144807872624,-16838.99279284319,-16331.335530592922,-15613.287368714815,-28795.8533265427,-13803.328544001626,361.2333844923169,-10348.250698501899,-43126.30619143769,-16344.183105512195,-38672.244541056294,-15725.894316690586,-43768.54754914492,-37489.888203523515,-30976.722702353254,-6249.432825225767,-43091.08876806383,-35902.089292662364,-30257.19578669971
COSTOS DE LA REESTRUCTURACIÓN FINANCIERA,,453.80580837550025,357.68332942258536,297.5514582969887,273.86514274159094,502.7539753329633,288.0670013810068,226.72165495871982,215.69134279129418,431.5093696750017,260.55478757619096,227.17492029370982,193.5982728952365,446.2107580186722,321.46979713281576,200.23366619235736,192.7962372689712,493.25087491870886,285.5595377871613,297.2763372719522,194.12315523275709,434.01302136375244,245.25068517189442,225.63925641630703,212.41211491383046,324.2298115483296,59.95374805233287,11.546124474350407,-3.051623330648334,218.18474446185962,27.58306162811326,20.27998960423631,12.653676255627158,47.13355272982789,21.147072480349873,6.610237434712596,11.147484832125272,14.989090549681336,19.38917493360037,9.182651973219915,13.570414623140131,10.658488317510193,10.758779295230314,9.587390325749862,7.693306817270276,7.654935064060091,13.630389968920035,3.055255836320066,4.347275540550065,0.2233785481201132,9.644202236813747e-14,4.1418593355046814e-14,4.2031888369820624e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DÉFICIT A FINANCIAR,,-4728.536340526721,-2344.2143297313705,-1155.6662553989763,-6867.7143306867365,-6664.960447009902,-370.3918141777221,-1633.6165916868158,-6073.790547019096,-6927.418920181278,-1765.8081937450374,-312.42619647382196,-5179.128707251177,-6254.325890223834,741.626361730458,-1803.0207508519413,-5458.617395752336,-6009.316793647352,4912.915983404156,-3116.2068859246046,-8125.368470263969,-3685.0609285572905,-1217.0381301954696,-3514.3555526185874,-13415.884123344607,403.2429423597448,-5138.869297190203,-1602.586201335263,-15073.49525311105,3535.7755496675495,4214.1303115543415,-2165.6948414519975,-23369.62742866546,2959.3819607231803,13089.99494389849,-3551.3579994326283,-28023.708473142036,3117.01934637055,6522.339519224033,-4590.148285742733,-21751.761142632917,515.3389567973845,565.3002690869819,-5085.875817114955,-14389.917589112392,2571.366803930059,5381.664296623584,-4202.148830754209,-8639.052612569527,-7011.91838482391,-1710.788592681147,-12979.368624441575,-13223.475562537205,-10726.61462012866,-1867.827376755407,-5639.275074928126,-15402.06718847277,-5184.208899999669,-5891.926104113385,-12818.843490776972,-6420.860652531538,-6291.9179111853,1318.5378734465628,-7292.138392175393,-13783.019859059226,-2468.1337041726997,-28138.53871203834,-29136.80996536091,-18019.94161656947,-14867.855095652785,-20291.05777637238,-4555.9000918511665,-43434.144807872624,-16838.99279284319,-16331.335530592922,-15613.287368714815,-28795.8533265427,-13803.328544001626,361.2333844923169,-10348.250698501899,-43126.30619143769,-16344.183105512195,-38672.244541056294,-15725.894316690586,-43768.54754914492,-37489.888203523515,-30976.722702353254,-6249.432825225767,-43091.08876806383,-35902.089292662364,-30257.19578669971
